Fecha,TMAX,TMIN,Prec,Fuente,TipoDato,CalidadDato,Emision
2026-01-01,34.9,11.3,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-02,30.8,7.1,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-03,25.4,9.9,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-04,31.2,4.8,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-05,33.3,11.4,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-06,26.4,18.8,0.25,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-07,30.1,16.2,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-08,24.5,12.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-09,27.5,14.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-10,30.9,15.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-11,35.7,19.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-12,29.0,19.0,5.5,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-13,27.5,16.9,9.5,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-14,31.5,18.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-15,27.3,18.0,19.7,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-16,29.2,13.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-17,34.2,17.5,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-18,23.0,11.9,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-19,24.4,10.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-20,28.4,14.1,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-21,31.6,18.0,2.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-22,33.1,15.5,37.25,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-23,29.9,19.2,0.2,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-24,33.1,17.6,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-25,31.3,22.0,7.1,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-26,28.9,19.0,18.2,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-27,29.5,14.2,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-01-28,35.0,17.1,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-29,35.8,18.7,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-30,36.2,17.2,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-01-31,35.2,19.1,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-01,38.3,21.3,1.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-02,38.1,22.6,7.75,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-03,32.4,18.4,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-04,27.2,18.4,7.2,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-05,23.5,15.7,0.5,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-06,30.5,7.7,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-07,28.8,12.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
