Fecha,TMAX,TMIN,Prec,Fuente,TipoDato,CalidadDato,Emision
2026-01-01,34.7,21.2,6.25,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-01-02,30.2,17.1,0.75,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-01-03,23.5,14.9,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-01-04,27.6,9.0,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-01-05,29.9,12.2,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-01-06,32.6,17.0,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-01-07,31.7,18.7,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-01-08,23.8,13.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-09,23.0,18.2,5.6,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-10,21.3,16.9,3.3,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-11,31.8,16.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-12,33.7,18.9,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-13,31.2,20.9,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-14,32.8,21.3,1.8,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-15,29.7,20.4,4.6,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-16,28.9,19.3,0.3,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-17,36.0,19.8,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-01-18,26.3,18.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-19,23.8,13.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-20,27.1,14.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-21,28.9,16.9,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-01-22,32.8,18.7,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-01-23,33.4,19.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
