Fecha,TMAX,TMIN,Prec,Fuente,TipoDato,Emision
2026-01-01,32.5,20.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-02,29.1,19.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-03,22.0,15.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-04,26.0,11.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-05,28.0,14.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-06,29.8,17.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-07,29.1,18.1,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-08,23.0,15.8,4.8,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-09,22.2,17.5,5.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-10,27.0,17.2,12.3,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-11,33.4,16.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-12,36.6,19.2,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-13,31.0,20.8,4.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-14,34.5,22.7,0.8,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-15,30.4,23.3,1.2,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-16,30.8,19.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-17,33.6,20.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-18,27.9,19.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-19,25.5,14.9,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-20,28.8,15.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-21,30.6,17.2,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-22,31.9,18.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-23,34.6,19.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-24,35.4,22.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-25,34.9,23.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-26,32.5,22.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-01-27,33.2,19.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
